accommodates,bedrooms,bathrooms,beds,price,minimum_nights,maximum_nights,number_of_reviews
-0.097957442,-0.249151125,-0.439068321,0.29718053,55,-0.341333397,-0.01658382,-0.345976036
-0.596724087,-0.249151125,-0.439068321,-0.54671089,400,-0.065162964,-0.016615426,-0.51690323
-1.095490731,-0.249151125,-0.439068321,-0.54671089,35,-0.341333397,-0.01658382,-0.51690323
0.400809202,0.940156198,1.265139688,0.29718053,160,-0.065162964,-0.016615313,-0.345976036
0.400809202,0.940156198,2.117243692,0.29718053,130,-0.065162964,-0.01658382,-0.482717791
-1.095490731,-0.249151125,-0.439068321,-0.54671089,50,-0.341333397,-0.01658382,-0.51690323
-0.596724087,-0.249151125,-0.439068321,-0.54671089,150,-0.341333397,-0.01658382,-0.51690323
-0.596724087,-0.249151125,0.413035683,-0.54671089,40,-0.341333397,-0.01658382,-0.209234281
-0.596724087,-0.249151125,-0.439068321,-0.54671089,45,-0.341333397,-0.01658382,-0.51690323
-0.596724087,-0.249151125,2.117243692,-0.54671089,55,-0.065162964,-0.01658382,-0.51690323
-0.596724087,-0.249151125,-0.439068321,-0.54671089,200,-0.341333397,-0.01658382,-0.482717791
-0.596724087,-0.249151125,-0.439068321,-0.54671089,65,-0.341333397,-0.01658382,-0.380161475
0.400809202,-0.249151125,0.413035683,-0.54671089,94,-0.341333397,-0.016614664,0.098434668
-1.095490731,-0.249151125,-0.439068321,-0.54671089,65,-0.341333397,-0.01658382,-0.448532352
0.899575846,-0.249151125,0.413035683,-0.54671089,64,-0.341333397,-0.016613001,3.414422227
-0.596724087,-0.249151125,-0.439068321,-0.54671089,59,-0.341333397,-0.01658382,0.098434668
-0.097957442,-0.249151125,0.413035683,-0.54671089,74,-0.341333397,-0.016613001,0.611216249
-0.097957442,-0.249151125,-0.439068321,-0.54671089,69,-0.341333397,-0.01658382,-0.24341972
-1.095490731,-0.249151125,-0.439068321,-0.54671089,49,-0.341333397,-0.01658382,-0.482717791
-0.596724087,-0.249151125,-0.439068321,-0.54671089,60,-0.341333397,-0.016605247,-0.51690323
-0.596724087,-0.249151125,-0.439068321,-0.54671089,69,-0.341333397,-0.01658382,0.132620106
0.400809202,-0.249151125,-0.439068321,0.29718053,157,-0.065162964,-0.01658382,-0.414346914
